Tower Name,Elevation,Latitude,Longitude
8 PS F12 33 KV Line,153,23.2338339860,69.2557099570
9 PS F12 33 KV Line,152.1,23.2333959800,69.2555369910
10 PS F12 33 KV Line,154.6,23.2330130260,69.2553950180
11 PS F12 33 KV Line,154.6,23.2327149800,69.2552549670
12 PS F12 33 KV Line,151.3,23.2322119630,69.2550649700
13 PS F12 33 KV Line,152.3,23.2313920260,69.2549540350
14 PS F12 33 KV Line,148.4,23.2312299590,69.2555740180
15 PS F12 33 KV Line,146.9,23.2307850060,69.2560619930
16 PS F12 33 KV Line,147.4,23.2304860450,69.2563730330
17 PS F12 33 KV Line,147.9,23.2300849800,69.2568120180
18 PS F12 33 KV Line,150,23.2297159900,69.2571910480
19 PS F12 33 KV Line,149.7,23.2296169870,69.2575220150
20 PS F12 33 KV Line,149.8,23.2298159570,69.2579259820
21 PS F12 33 KV Line,148.8,23.2300939600,69.2584980280
22 PS F12 33 KV Line,150.5,23.2300519740,69.2589809990
23 PS F12 33 KV Line,153.8,23.2300290270,69.2594210000
24 PS F12 33 KV Line,155,23.2299999950,69.2598800480
25 PS F12 33 KV Line,153.4,23.2299979760,69.2603360210
26 PS F12 33 KV Line,149,23.2299760060,69.2607290080
27 PS F12 33 KV Line,146.7,23.2295289720,69.2613180250
28 PS F12 33 KV Line,147.4,23.2291570030,69.2617980040
29 PS F12 33 KV Line,146.8,23.2288470290,69.2622059670
30 PS F12 33 KV Line,146.3,23.2289249630,69.2628139860
31 PS F12 33 KV Line,143.4,23.2290039770,69.2634229850
32 PS F12 33 KV Line,147.4,23.2290890260,69.2639870340
33 PS F12 33 KV Line,149.9,23.2291850320,69.2643730170
34 PS F12 33 KV Line,149.2,23.2292870300,69.2647940050
35 PS F12 33 KV Line,149.2,23.2293779820,69.2652290460
36 PS F12 33 KV Line,150.3,23.2294709900,69.2656769940
37 PS F12 33 KV Line,151.1,23.2295829680,69.2661230260
38 PS F12 33 KV Line,152.9,23.2296859740,69.2665329730
1 A WTG 9 F6 33 KV Line,159.8,23.2595579890,69.2344189590
2 A WTG 9 F6 33 KV Line,159.7,23.2590609760,69.2343059520
3 A WTG 9 F6 33 KV Line,157.7,23.2586579850,69.2337160170
4 A WTG 9 F6 33 KV Line,155.4,23.2584209590,69.2333499620
5 A WTG 9 F6 33 KV Line,153,23.2580280410,69.2327870330
6 A WTG 9 F6 33 KV Line,153.7,23.2573260020,69.2326559830
7 A WTG 9 F6 33 KV Line,153.2,23.2568910200,69.2324990010
8 A WTG 9 F6 33 KV Line,153.2,23.2565609610,69.2323699670
9 A WTG 9 F6 33 KV Line,151.9,23.2560760430,69.2322009740
10 A WTG 9 F6 33 KV Line,153.5,23.2554449600,69.2320379850
11 A WTG 9 F6 33 KV Line,156.3,23.2548389740,69.2318850140
12 A WTG 9 F6 33 KV Line,154.5,23.2542310130,69.2317240240
13 A WTG 9 F6 33 KV Line,151.6,23.2539030240,69.2320889880
14 A WTG 9 F6 33 KV Line,150.4,23.2536119810,69.2323920340
1 WTG 4 F6 33 KV Line,167.6,23.2399636340,69.2614892500
2 WTG 4 F6 33 KV Line,192.7,23.2650821570,69.2646411910
1 WTG 1 F6 33 KV Line,194,23.2642505200,69.2671130210
2 WTG 1 F6 33 KV Line,192.7,23.2650821570,69.2646411910
3 WTG 1 F6 33 KV Line,193,23.2666761310,69.2657671580
4 WTG 1 F6 33 KV Line,204,23.2730538390,69.2705095230
5 WTG 1 F6 33 KV Line,208.3,23.2727047330,69.2718400140
1 WTG 11 F6 33 KV,150.4,23.2536119810,69.2323920340
2 WTG 11 F6 33 KV,150.8,23.2535030590,69.2326244200
3 WTG 11 F6 33 KV,152.1,23.2533218900,69.2329662710
4 WTG 11 F6 33 KV,152.9,23.2530773880,69.2333764430
5 WTG 11 F6 33 KV,155.2,23.2526162500,69.2336786990
6 WTG 11 F6 33 KV,155.7,23.2521280120,69.2339809060
7 WTG 11 F6 33 KV,154.1,23.2518924960,69.2344204170
8 WTG 11 F6 33 KV,156.3,23.2517471930,69.2349382920
9 WTG 11 F6 33 KV,156.6,23.2515657840,69.2354365510
10 WTG 11 F6 33 KV,153.7,23.2510320400,69.2359635160
11 WTG 11 F6 33 KV,156.2,23.2507333310,69.2363735800
12 WTG 11 F6 33 KV,156.3,23.2503621800,69.2369008260
13 WTG 11 F6 33 KV,159.5,23.2497572280,69.2367237910
14 WTG 11 F6 33 KV,161.9,23.2494232100,69.2365863400
15 WTG 11 F6 33 KV,163.6,23.2490169280,69.2364487620
16 WTG 11 F6 33 KV,160.7,23.2488549790,69.2360183410
17 WTG 11 F6 33 KV,159.6,23.2486839520,69.2356172320
18 WTG 11 F6 33 KV,161.7,23.2484130040,69.2355874290
19 WTG 11 F6 33 KV,159.7,23.2484127980,69.2357242890
1 A WTG 11 F6 33 KV,151.6,23.2539030240,69.2320889880
2 A WTG 11 F6 33 KV,149.9,23.2536667970,69.2318523870
3 A WTG 11 F6 33 KV,151.1,23.2533600900,69.2315683490
4 A WTG 11 F6 33 KV,153.2,23.2529541770,69.2311766040
5 A WTG 11 F6 33 KV,156.4,23.2525652940,69.2314887680
6 A WTG 11 F6 33 KV,156.5,23.2521131210,69.2318399250
7 A WTG 11 F6 33 KV,159.8,23.2516699800,69.2321910960
8 A WTG 11 F6 33 KV,156.5,23.2512268670,69.2325227120
9 A WTG 11 F6 33 KV,155.9,23.2506668880,69.2324728610
10 A WTG 11 F6 33 KV,160.4,23.2501249750,69.2324230430
11 A WTG 11 F6 33 KV,161.2,23.2495830910,69.2323536720
12 A WTG 11 F6 33 KV,162.7,23.2495916610,69.2326665150
13 A WTG 11 F6 33 KV,166.5,23.2495366360,69.2332236440
14 A WTG 11 F6 33 KV,166.9,23.2495176840,69.2338199380
15 A WTG 11 F6 33 KV,165.6,23.2494899000,69.2342793550
16 A WTG 11 F6 33 KV,168.9,23.2490829880,69.2345621430
17 A WTG 11 F6 33 KV,167.3,23.2487393800,69.2347961620
18 A WTG 11 F6 33 KV,166.8,23.2484139110,69.2349813320
19 A WTG 11 F6 33 KV,161.7,23.2484130040,69.2355874290
1 WTG 9 F6 33 KV Line,173.3,23.2627993500,69.2378320470
2 WTG 9 F6 33 KV Line,172.2,23.2624400520,69.2378072610
3 WTG 9 F6 33 KV Line,172,23.2619960350,69.2377740150
4 WTG 9 F6 33 KV Line,167.5,23.2617100440,69.2371189540
5 WTG 9 F6 33 KV Line,166.2,23.2614529690,69.2365159590
6 WTG 9 F6 33 KV Line,164,23.2610049630,69.2360719910
7 WTG 9 F6 33 KV Line,164.7,23.2605510050,69.2356209760
8 WTG 9 F6 33 KV Line,161.1,23.2599949700,69.2352910160
9 WTG 9 F6 33 KV Line,162.1,23.2597719760,69.2348469620
10 WTG 9 F6 33 KV Line,159.8,23.2595579890,69.2344189590
11 WTG 9 F6 33 KV Line,163.2,23.2600920360,69.2345330080
12 WTG 9 F6 33 KV Line,163,23.2601300130,69.2344470400
1 WTG 8 F6 33 KV Line,183.5,23.2674526520,69.2309376240
2 WTG 8 F6 33 KV Line,180.7,23.2669198590,69.2308291580
3 WTG 8 F6 33 KV Line,175.2,23.2664051180,69.2307305000
4 WTG 8 F6 33 KV Line,171.1,23.2658813290,69.2306416050
5 WTG 8 F6 33 KV Line,167.9,23.2654385650,69.2307386130
6 WTG 8 F6 33 KV Line,166,23.2649144890,69.2308452580
7 WTG 8 F6 33 KV Line,164.5,23.2644896760,69.2310205110
8 WTG 8 F6 33 KV Line,162.4,23.2639563360,69.2312835690
9 WTG 8 F6 33 KV Line,164.8,23.2640640120,69.2317726000
10 WTG 8 F6 33 KV Line,161.7,23.2639638970,69.2322808270
11 WTG 8 F6 33 KV Line,161.6,23.2640090910,69.2322613510
1 WTG-12 F12 33 KV Line,165.9,23.2293717280,69.2793725520
2 WTG-12 F12 33 KV Line,197.7,23.2376655060,69.2836361350
3 WTG-12 F12 33 KV Line,205.7,23.2412582080,69.2973454110
4 WTG-12 F12 33 KV Line,199.8,23.2367733140,69.3116497370
5 WTG-12 F12 33 KV Line,183.6,23.2257122850,69.3088924740
1 PS F6 33 KV Line,157.9,23.2347880140,69.2587210370
2 PS F6 33 KV Line,157.6,23.2347790110,69.2584279720
3 PS F6 33 KV Line,156.1,23.2348530370,69.2580710420
4 PS F6 33 KV Line,158.2,23.2352649760,69.2581080010
5 PS F6 33 KV Line,156.1,23.2353149700,69.2578080100
6 PS F6 33 KV Line,152.6,23.2354979830,69.2573659530
7 PS F6 33 KV Line,151,23.2356480110,69.2568210000
1 WTG 7 F6 33 KV Line,153,23.2336869830,69.2553979620
2 WTG 7 F6 33 KV Line,155.7,23.2331139550,69.2552659890
3 WTG 7 F6 33 KV Line,152.7,23.2324289770,69.2550969540
4 WTG 7 F6 33 KV Line,152.6,23.2322119850,69.2548290110
5 WTG 7 F6 33 KV Line,154.6,23.2324650190,69.2547630250
1 A WTG12 F12 33 KV Line,151.5,23.2296781500,69.2661925150
2 A WTG12 F12 33 KV Line,152.9,23.2296859740,69.2665329730
3 A WTG12 F12 33 KV Line,154,23.2297455410,69.2669891650
4 A WTG12 F12 33 KV Line,154.9,23.2298260240,69.2674682710
5 A WTG12 F12 33 KV Line,155.9,23.2299244230,69.2680353830
6 A WTG12 F12 33 KV Line,156.2,23.2300138360,69.2685731550
7 A WTG12 F12 33 KV Line,155.3,23.2300764160,69.2689544830
8 A WTG12 F12 33 KV Line,152.9,23.2299851140,69.2695212160
9 A WTG12 F12 33 KV Line,153,23.2296864860,69.2698333970
10 A WTG12 F12 33 KV Line,155.1,23.2299026920,69.2701759360
11 A WTG12 F12 33 KV Line,155.1,23.2300830680,69.2703424650
12 A WTG12 F12 33 KV Line,155.6,23.2303352370,69.2707828220
13 A WTG12 F12 33 KV Line,154.3,23.2305513570,69.2711742370
14 A WTG12 F12 33 KV Line,155.7,23.2307404440,69.2715265000
15 A WTG12 F12 33 KV Line,158.3,23.2313360530,69.2718600380
16 A WTG12 F12 33 KV Line,158.8,23.2318322630,69.2722129270
17 A WTG12 F12 33 KV Line,161.2,23.2319759630,69.2726921720
18 A WTG12 F12 33 KV Line,158.4,23.2321287270,69.2731518870
19 A WTG12 F12 33 KV Line,157.9,23.2323175550,69.2736507750
20 A WTG12 F12 33 KV Line,160.6,23.2324794180,69.2740714130
21 A WTG12 F12 33 KV Line,160.6,23.2326232300,69.2744822400
22 A WTG12 F12 33 KV Line,160.7,23.2323242850,69.2749703580
23 A WTG12 F12 33 KV Line,162.7,23.2321794470,69.2751460040
24 A WTG12 F12 33 KV Line,163.4,23.2320164580,69.2753704850
25 A WTG12 F12 33 KV Line,163.6,23.2317628640,69.2757511720
26 A WTG12 F12 33 KV Line,166.4,23.2315814130,69.2762004280
27 A WTG12 F12 33 KV Line,168,23.2314451780,69.2766204520
28 A WTG12 F12 33 KV Line,167.3,23.2313090100,69.2770013770
29 A WTG12 F12 33 KV Line,167.1,23.2312723260,69.2773140860
30 A WTG12 F12 33 KV Line,167.9,23.2312264360,69.2777245200
31 A WTG12 F12 33 KV Line,167,23.2311987670,69.2780470210
32 A WTG12 F12 33 KV Line,167.8,23.2310443040,69.2785549750
33 A WTG12 F12 33 KV Line,166.8,23.2307912400,69.2786326460
34 A WTG12 F12 33 KV Line,166.6,23.2303483760,69.2787685690
35 A WTG12 F12 33 KV Line,165.9,23.2300589880,69.2789536820
36 A WTG12 F12 33 KV Line,164.1,23.2296972310,69.2791972900
37 A WTG12 F12 33 KV Line,165.9,23.2293717280,69.2793725520
38 A WTG12 F12 33 KV Line,166.6,23.2288931830,69.2792542640
39 A WTG12 F12 33 KV Line,163.8,23.2284598390,69.2791165220
40 A WTG12 F12 33 KV Line,165.1,23.2280083930,69.2789982920
41 A WTG12 F12 33 KV Line,165.4,23.2276653620,69.2788705140
42 A WTG12 F12 33 KV Line,161.6,23.2271507530,69.2787130580
43 A WTG12 F12 33 KV Line,158.6,23.2270338260,69.2784293640
44 A WTG12 F12 33 KV Line,157.8,23.2267997440,69.2779890400
45 A WTG12 F12 33 KV Line,157.9,23.2266382190,69.2773827070
46 A WTG12 F12 33 KV Line,157.6,23.2264949300,69.2766786710
47 A WTG12 F12 33 KV Line,156.5,23.2263064720,69.2759745440
48 A WTG12 F12 33 KV Line,156.4,23.2261719360,69.2754269160
49 A WTG12 F12 33 KV Line,157.6,23.2260463450,69.2749281780
50 A WTG12 F12 33 KV Line,156,23.2258116730,69.2748201820
51 A WTG12 F12 33 KV Line,152.8,23.2253784260,69.2746238140
52 A WTG12 F12 33 KV Line,151.1,23.2249722110,69.2744665980
53 A WTG12 F12 33 KV Line,151.4,23.2246383110,69.2742802090
54 A WTG12 F12 33 KV Line,150.8,23.2241148520,69.2740152420
55 A WTG12 F12 33 KV Line,152,23.2239154080,69.2744253420
